# Generated by generate_synthetic_pdfs.py
case_id,ref,date,commune,cp,demandeur,entreprise,adresse
C00040,DT-2026-00040,2023-01-05,Paris,75012,Entreprise Leroy,InfraSud,117 rue de la Paix
C00041,DT-2026-00041,2023-11-14,Versailles,78000,Société Durand,InfraSud,56 rue des Lilas
C00042,DT-2023-00042,2024-10-04,Boulogne-Billancourt,92100,Mairie,XYZ Réseaux,150 rue Jean Jaurès
C00043,DT-2024-00043,2023-04-27,Boulogne-Billancourt,92100,Agence Voirie,XYZ Réseaux,48 rue des Lilas
C00044,DT-2023-00044,2024-04-26,Boulogne-Billancourt,92100,Entreprise Leroy,XYZ Réseaux,146 rue Victor Hugo
C00045,DT-2023-00045,2023-06-17,Boulogne-Billancourt,92100,Entreprise Leroy,RéseauPro,150 rue Pasteur
C00046,DT-2025-00046,2024-06-18,Boulogne-Billancourt,92100,Société Durand,RéseauPro,184 rue de la Paix
C00047,DT-2025-00047,2025-03-21,Paris,75012,Société Durand,RéseauPro,166 rue de la Paix
C00048,DT-2025-00048,2023-05-29,Versailles,78000,Mairie,GeoBat,160 rue Pasteur
C00049,DT-2023-00049,2026-01-06,Nanterre,92000,Société Durand,NordCable,68 rue Victor Hugo
C00050,DT-2023-00050,2024-05-15,Montreuil,93100,SAS Martin,InfraSud,41 rue Jean Jaurès
C00051,DT-2025-00051,2025-12-19,Ivry-sur-Seine,94200,Mairie,RéseauPro,142 rue de la Paix
C00052,DT-2023-00052,2023-10-03,Saint-Denis,93200,SAS Martin,XYZ Réseaux,28 rue Pasteur
C00053,DT-2025-00053,2024-07-31,Paris,75012,Agence Voirie,ABC Travaux,184 rue de la Paix
C00054,DT-2025-00054,2025-11-01,Paris,75012,Entreprise Leroy,InfraSud,14 rue des Lilas
C00055,DT-2026-00055,2024-07-20,Saint-Denis,93200,Mairie,XYZ Réseaux,86 rue Victor Hugo
C00056,DT-2025-00056,2023-11-27,Saint-Denis,93200,Entreprise Leroy,NordCable,181 rue Jean Jaurès
C00057,DT-2023-00057,2023-08-18,Boulogne-Billancourt,92100,Mairie,RéseauPro,39 rue Pasteur
C00058,DT-2025-00058,2023-10-31,Nanterre,92000,Entreprise Leroy,ABC Travaux,11 rue de la Paix
C00059,DT-2023-00059,2025-01-02,Montreuil,93100,Société Durand,RéseauPro,64 rue des Lilas
C00060,DT-2026-00060,2023-11-13,Montreuil,93100,Société Durand,ABC Travaux,46 rue Jean Jaurès
C00061,DT-2024-00061,2024-11-11,Nanterre,92000,Entreprise Leroy,RéseauPro,189 rue Victor Hugo
C00062,DT-2024-00062,2023-08-10,Montreuil,93100,Entreprise Leroy,XYZ Réseaux,121 rue Victor Hugo
C00063,DT-2026-00063,2024-12-17,Paris,75012,SAS Martin,ABC Travaux,58 rue des Lilas
C00064,DT-2024-00064,2025-03-27,Saint-Denis,93200,SAS Martin,InfraSud,18 rue de la Paix
C00065,DT-2026-00065,2026-01-03,Montreuil,93100,SAS Martin,XYZ Réseaux,30 rue de la Paix
C00066,DT-2025-00066,2023-03-20,Paris,75012,Mairie,NordCable,112 rue de la Paix
C00067,DT-2025-00067,2025-06-12,Saint-Denis,93200,Agence Voirie,NordCable,30 rue Jean Jaurès
C00068,DT-2024-00068,2024-06-05,Boulogne-Billancourt,92100,Mairie,RéseauPro,112 rue des Lilas
C00069,DT-2024-00069,2025-01-15,Boulogne-Billancourt,92100,Entreprise Leroy,XYZ Réseaux,171 rue de la Paix
C00070,DT-2025-00070,2023-09-13,Boulogne-Billancourt,92100,SAS Martin,NordCable,80 rue Jean Jaurès
C00071,DT-2026-00071,2024-08-28,Montreuil,93100,Agence Voirie,ABC Travaux,50 rue Jean Jaurès
C00072,DT-2026-00072,2023-12-23,Saint-Denis,93200,Agence Voirie,NordCable,78 rue Jean Jaurès
C00073,DT-2023-00073,2024-09-14,Boulogne-Billancourt,92100,SAS Martin,ABC Travaux,111 rue Pasteur
C00074,DT-2025-00074,2025-08-10,Boulogne-Billancourt,92100,Entreprise Leroy,GeoBat,173 rue Victor Hugo
C00075,DT-2026-00075,2023-12-14,Boulogne-Billancourt,92100,Mairie,InfraSud,132 rue Pasteur
C00076,DT-2023-00076,2024-04-26,Montreuil,93100,SAS Martin,ABC Travaux,51 rue Victor Hugo
C00077,DT-2023-00077,2024-05-16,Nanterre,92000,Entreprise Leroy,NordCable,197 rue des Lilas
C00078,DT-2026-00078,2024-02-03,Versailles,78000,Entreprise Leroy,GeoBat,103 rue Victor Hugo
C00079,DT-2023-00079,2023-08-07,Paris,75012,Entreprise Leroy,ABC Travaux,46 rue Pasteur
C00080,DT-2023-00080,2024-05-25,Versailles,78000,Mairie,GeoBat,35 rue Jean Jaurès
